pid,janonly,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
2997,,<a href='/brughel/3000'><img src='/img/derivatives/simple/3000/thumbnail.jpg' /></a>|<a href='/brughel/3144'><img src='/img/derivatives/simple/3144/thumbnail.jpg' /></a>|<a href='/brughel/3804'><img src='/img/derivatives/simple/3804/thumbnail.jpg' /></a>|<a href='/brughel/2999'><img src='/img/derivatives/simple/2999/thumbnail.jpg' /></a>|<a href='/brughel/3142'><img src='/img/derivatives/simple/3142/thumbnail.jpg' /></a>|<a href='/brughel/2982'><img src='/img/derivatives/simple/2982/thumbnail.jpg' /></a>|<a href='/brughel/3139'><img src='/img/derivatives/simple/3139/thumbnail.jpg' /></a>,3000|3144|3804|2999|3142|2982|3139,Bouquet with Mourning Iris in a Stoneware Vase (Cambridge),Painting,Flower Still-Life & Nature Study,Insects Vase Flowers Jewels,ca. 1609,60.3,42.2,,,Panel,,BRUEGHEL (FE?),,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 1979, #168, Ertz 2008-10, #436, Honig database",168,436,,,Public,England,Cambridge,Fitzwilliam Museum,inv. #PD.20-1975,4764|4765|4766|4767|4768,"M.H. Grant 1952, cat. #16, with figure; Ertz 1979, cat. #168; Groen & Murray 1994, p. 13; Brenninkmeijer-de Rooij 1996, p. 63, 81; fig. 62; Ertz 2008-10, p. 925, cat. #436","Die Jungeren Brueghel'', Gal. St. Lucas, Vienna, 1935 (as Jan Brueghel the Elder)",3000|3144|3804|2999|3142|2982|3139,,,,"{% cite 9004 %} cat. #168, {% cite 8196 %} p. 63, 81; fig. 62, {% cite 8900 %} cat. #436",105,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2997/thumbnail.jpg,img/derivatives/simple/2997/full.jpg
9726,,,,Landscape with Cattle,Drawing,Landscape,,1619,19.4,29.8,,,Paper,Pen and ink,signed and dated,lower left,,,,,,,,,,,,Bailey/Walker cat. #MANC.WH.1,,,MANC.WH.1,,Public,England,Manchester,Whitworth Art Gallery,D.1930.40,6888,,,,,,http://gallerysearch.ds.man.ac.uk/Detail/3920,,1052,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9726/thumbnail.jpg,img/derivatives/simple/9726/full.jpg
9730,,,,Herd of Cows at a Well,Drawing,Landscape,,1614-1619,19,29.8,,,Paper,"Pen and brown ink, brush and gray ink, light gray wash, framing lines in pen and brown and gray ink",,,,"""28""",,,,,,,,,,Bailey/Walker cat. #MOSC.PU.3,,,MOSC.PU.3,,Public,Russia,Moscow,Pushkin Museum,4657,6897|6898|6899|6900|6901|6902|6903|6904,"Massaloff 1917, p. 300, nr. 33; Sidorov 1930, p. 232; Moscow 1959, p. 22, ill.; Sadkov 2001, p. 74, nr. 79, ill.; Sadkov 2010, p. 80-1",,,,,,,1056,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9730/thumbnail.jpg,img/derivatives/simple/9730/full.jpg
2998,,,,Bouquet with Mourning Iris in a Stoneware Vase (Cologne),Painting,Flower Still-Life & Nature Study,Insects Vase Flowers,,52,41,,,,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"RKD as similar to Jan Brueghel the Elder, Ertz 1979, Variant of #166, Ertz 2008-10, Variant of #434",,,,,Public,Germany,Cologne,Wallraf-Richartz Museum,"cat. 1965, inv. #2860",,,,,,,,,106,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2998/thumbnail.jpg,img/derivatives/simple/2998/full.jpg
9735,,,,Garden of Eden (Yale 1961.62.26),Drawing,Religious,Resting Parrot Cattle Deer Horse Monkey Swine Garden Old_Testament Paradise,,27.7,24.1,,,Paper,"Pen and dark brown ink, brush and blue ink, blue wash",,,,"""I. Brugel"" and ""1642""",,,,,,,,,,Bailey/Walker cat. #NEWH.YU.13,,,NEWH.YU.13,,Public,United States,"New Haven, CT",Yale University Art Gallery,inv. #1961.62.26,6920,"New Haven 1970, p. 293, nr. 538",,,,,http://artgallery.yale.edu/collections/objects/58558,,1061,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9735/thumbnail.jpg,img/derivatives/simple/9735/full.jpg
9736,,,,Wooded Shore with People Embarking in Boats (recto); Studies of People in Boats (verso),Drawing,Landscape,Ship,,12.3,16.8,,,Paper,"Pen and brown ink, brown wash (recto); Pen and brown ink (verso)",,,,"""Peter Breugel the Son""",,,,,,,,,,Bailey/Walker cat. #NEWH.YU.17,,,NEWH.YU.17,,Public,United States,"New Haven, CT",Yale University Art Gallery,1961.62.35,6924,"New Haven 1970, p. 286, nr. 525, pl. 289",,,,,http://artgallery.yale.edu/collections/objects/58577,,1062,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9736/thumbnail.jpg,img/derivatives/simple/9736/full.jpg
9738,,,,Peasants on Their Way to Market,Drawing,"Urban, Common and Peasant Life",,,20.5,31.4,,,Paper,Pen and brown ink with brush and watercolo on cream antique laid paper,,,,,,,,,,,,,,Bailey/Walker cat. #NORT.SC.1,,,NORT.SC.1,,Public,United States,"Northampton, MA",Smith College Museum of Art,SC 1944:10-1,6937,,,,,,http://museums.fivecolleges.edu/detail.php?museum=all&t=objects&type=all&f=&s=brueghel&record=2,,1064,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9738/thumbnail.jpg,img/derivatives/simple/9738/full.jpg
9740,,,,"The Ruins of Castle Merxem, near Antwerp",Drawing,Ruins,Castle Ruins,1610,16.5,31.2,,,Paper,"Pen and brown ink with pink, blue, gray, and yellow washes",,,"Collector's marks: (Verso, LL) K.E. von Kiphart (L. 1687), (Verso, UL) R. von Liphart (L. 1758)","UR: ""Kastel van straelen bij Antwerp 1610""; ""P. Breugel"" in pen and ink (probably the hand writing of Jan Pietersz. Zomer, 1641-1724); Verso, ""N233""; Verso, UL: ""P. Zaenredam...(crossed out) nein da dieser war 1597 geboren.../ P Breughel bezeichnet, aber wohl unsicher/ Gruyter B 12th""",,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #NY.MM.2,,,NY.MM.2,,Public,United States,"New York, NY",Metropolitan Museum of Art,2001.638,6945|6946|6947|6948|6949|6950|6951|6952,"Boerner 1899, nr. 93 (as Pieter Breughel); Becker 1922, nr. 8, ill.; Adler 1980, p. 53, 248, 249, fig. 226, p. 89, note 279, ill.; Adler 1982, nr. 17, ill.; New York 2002, nr. 16, ill.; Bambach et al. 2002, p. 16, ill.; New York/Edinburgh 2009, p. 101, fig. 40","The Metropolitan Museum of Art, ""Drawings and Prints: Selections from the Permanent Collection,"" November 5, 2001–January 28, 2002|New York 2002, nr. 16",,,,http://www.metmuseum.org/collection/the-collection-online/search/347299,,1065,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9740/thumbnail.jpg,img/derivatives/simple/9740/full.jpg
9742,,,,Peasants and Hay Wagon on a Country Road,Drawing,"Urban, Common and Peasant Life",,,14.8,17.5,,,Paper,"Pen and brown ink, gray wash",,,"Collector's mark: (LL) William Mayor (d. 1874), London (Lugt 2799)",,,,,,,,,,,Bailey/Walker cat. #NY.MM.4,,,NY.MM.4,,Public,United States,"New York, NY",Metropolitan Museum of Art,61.130.1,6957|6958|6959|6960|6961|6962|6963,"Sotheby&apos;s 1953, nr. 31 (as T. Michau); New York 1970, nr. 1, p. 3","The Metropolitan Museum of Art, ""Coles Gallery, 8: Tapestries and Paintings, Malachites, Vases, Drawings by Old Masters, Etchings, Photographs, and Tapestries in Gallery 4, Main Hall,"" 1895",,,7282,http://www.metmuseum.org/collection/the-collection-online/search/335120?rpp=20&pg=1&ft=jan%2Bbrueghel%2Bthe%2Belder&pos=18&imgno=0&tabname=object-information,,1066,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9742/thumbnail.jpg,img/derivatives/simple/9742/full.jpg
9743,,<a href='/brughel/9803'><img src='/img/derivatives/simple/9803/thumbnail.jpg' /></a>|<a href='/brughel/3235'><img src='/img/derivatives/simple/3235/thumbnail.jpg' /></a>,9803|3235,Dutch Landscape with Windmills,Drawing,Landscape,,,19.7,31,,,Paper,"Pen and brown ink, brush and brown, blue, and gray wash; framing lines in black ink",,,,"Verso, ""A 5514""",,,,,,,,,,Bailey/Walker cat. #NY.MM.5,,,NY.MM.5,,Public,United States,"New York, NY",Metropolitan Museum of Art,42.186.1,6964|6965|6966|6967,"Zeri 1954, p. 46; London 1959, nr. 40; London/Paris/Bern/Brussels 1972, p. 21; Ertz 1979, p. 165, fig. 178; Brussels 1980, p. 192; Bedoni 1983, p. 67; Providence 1983, p. 213; Liedtke 1984, vol. 1, nr. 3, p. 19; Essen/Vienna 1997-98, p. 231, fig. 2, nr. 64","London 1959, nr. 40|Essen/Vienna 1997-98, under nr. 64",9803|3235,,,http://www.metmuseum.org/collection/the-collection-online/search/335119,"{% cite 8536 %} p. 46, {% cite 9345 %} p. 21, {% cite 9004 %} p. 165, fig. 178, {% cite 8068 %} p. 67, {% cite 8718 %} p. 213, {% cite 9003 %} vol. 1, nr. 3, p. 19, {% cite 8236 %} p. 231, fig. 2, nr. 64",1067,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9743/thumbnail.jpg,img/derivatives/simple/9743/full.jpg
9745,,,,Boats and Houses,Drawing,Landscape,,,20.2,20.8,,,Paper,"Pen and brown ink, brown wash (faded gray); circular framing lines lightly sketched in pen and brown ink",,,,"""P. Brueghel""",,,,,,,,,,Bailey/Walker cat. #NY.MM.7,,,NY.MM.7,,Public,United States,"New York, NY",Metropolitan Museum of Art,06.1042.4,6971|6972,,,,,,http://www.metmuseum.org/collection/the-collection-online/search/335118,,1069,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9745/thumbnail.jpg,img/derivatives/simple/9745/full.jpg
2999,,<a href='/brughel/2997'><img src='/img/derivatives/simple/2997/thumbnail.jpg' /></a>|<a href='/brughel/3144'><img src='/img/derivatives/simple/3144/thumbnail.jpg' /></a>|<a href='/brughel/3804'><img src='/img/derivatives/simple/3804/thumbnail.jpg' /></a>|<a href='/brughel/3000'><img src='/img/derivatives/simple/3000/thumbnail.jpg' /></a>|<a href='/brughel/3142'><img src='/img/derivatives/simple/3142/thumbnail.jpg' /></a>|<a href='/brughel/3139'><img src='/img/derivatives/simple/3139/thumbnail.jpg' /></a>|<a href='/brughel/2982'><img src='/img/derivatives/simple/2982/thumbnail.jpg' /></a>,2997|3144|3804|3000|3142|3139|2982,Bouquet with Mourning Iris in a Stoneware Vase (Germany),Painting,Flower Still-Life & Nature Study,Insects Vase Flowers,,56,42,,,Panel,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"RKD as Jan Brueghel the Elder, Ertz 1979, Variant of #166, Ertz 2008-10, Variant of #434",,,,,Private,,,,"Germany, Private Collection",,,,2997|3144|3804|3000|3142|3139|2982,,,,,107,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2999/thumbnail.jpg,img/derivatives/simple/2999/full.jpg
9747,,,,Studies of Peasants,Drawing,Study,Peasants,,5.9,8.5,,,Paper,"Black chalk, brush and gray and pink wash. Framing lines in pen and brown ink at top, right, and bottom margins",,,"Collector's mark: (Verso, LC) MMA inv. no. 80.3.472",,,,,,,,,,,Bailey/Walker cat. #NY.MM.9,,,NY.MM.9,,Public,United States,"New York, NY",Metropolitan Museum of Art,80.3.472,6976|6977|6978,"New York 1895, nr. 472; Gardner 1947, p. 220","New York 1895, nr. 472",,,,http://www.metmuseum.org/collection/the-collection-online/search/335123,,1071,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9747/thumbnail.jpg,img/derivatives/simple/9747/full.jpg
9751,,,,Road by Houses Built on Roman Ruins,Drawing,Ruins,,,13.5,20,,,Paper,Pen and brown ink,,,,,,,,,,,,,,Bailey/Walker cat. #NY.PM.4,,,NY.PM.4,,Public,United States,"New York, NY",Pierpont Morgan Library,2009.7,7001,,,,,,http://corsair.themorgan.org/cgi-bin/Pwebrecon.cgi?BBID=283123,,1075,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9751/thumbnail.jpg,img/derivatives/simple/9751/full.jpg
9752,,<a href='/brughel/9711'><img src='/img/derivatives/simple/9711/thumbnail.jpg' /></a>,9711,Coaches on the Road,Drawing,Landscape,,ca. 1614,19.8,29.8,,,Paper,"Pen, brown and blue wash",,,,,,,,,,,,,,Bailey/Walker cat. #OBER.AM.1,,,OBER.AM.1,,Public,United States,"Oberlin, OH",Allen Memorial Art Museum,1959.4,7002|7003|7004,"London 1962, nr. 36","London 1962, nr. 36",9711,,,http://allenartcollection.oberlin.edu/emuseum/view/objects/asitem/id/7680,{% cite 8494 %} #36,1076,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9752/thumbnail.jpg,img/derivatives/simple/9752/full.jpg
9753,,,,Hilly Landscape with Village in the Foreground,Drawing,Landscape,,,11.3,28.5,,,Paper,"Pen and brown ink, brush and watercolor",,,"Collector's mark: Prosper Henry Lankrink (1628–1692), London (L. 2090)",,,,,,,,,,,Bailey/Walker cat. #OSLO.NG.1,,,OSLO.NG.1,,Public,Norway,Oslo,Nasjonalgalleriet,NG.K&H.B.15580,7005|7328,,,,,,,,1077,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9753/thumbnail.jpg,img/derivatives/simple/9753/full.jpg
9754,,,,Harbor Scene (Oslo),Drawing,Seascape,Harbor Fishermen Seascape Boat,,13,20.5,,,Paper,Pen and brown and red ink,,,,,,,,,,,,,,Bailey/Walker cat. #OSLO.NG.2,,,OSLO.NG.2,,Public,Norway,Oslo,Nasjonalgalleriet,NG.K&H.B.15587,7329,,,,,,,,1078,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9754/thumbnail.jpg,img/derivatives/simple/9754/full.jpg
9755,,,,View of the Ponte Rotto in Rome,Drawing,Ruins,,ca. 1593-ca. 1596,11,16.6,,,Paper,Pen and brown ink with blue wash over traces of black chalk,,,,,,,,,,,,,,Bailey/Walker cat. #OTTA.NG.1,,,OTTA.NG.1,,Public,Canada,Ottawa,National Gallery of Canada,5523,7006,,,,,,http://www.gallery.ca/en/see/collections/artwork.php?mkey=2993,,1079,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9755/thumbnail.jpg,img/derivatives/simple/9755/full.jpg
3000,,<a href='/brughel/2997'><img src='/img/derivatives/simple/2997/thumbnail.jpg' /></a>|<a href='/brughel/3144'><img src='/img/derivatives/simple/3144/thumbnail.jpg' /></a>|<a href='/brughel/3804'><img src='/img/derivatives/simple/3804/thumbnail.jpg' /></a>|<a href='/brughel/2999'><img src='/img/derivatives/simple/2999/thumbnail.jpg' /></a>|<a href='/brughel/3142'><img src='/img/derivatives/simple/3142/thumbnail.jpg' /></a>|<a href='/brughel/3139'><img src='/img/derivatives/simple/3139/thumbnail.jpg' /></a>,2997|3144|3804|2999|3142|3139,Bouquet with Mourning Iris in a Stoneware Vase (Prague),Painting,Flower Still-Life & Nature Study,Insects Vase Flowers,ca. 1609,67,51.5,,,Panel,,,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 1979, #166, Ertz 2008-10, #434, Honig database",166,434,,,Public,Czech Republic,Prague,Narodní Galerie,inv. #O-1607,4769|4770|4771,"Ertz 1979, cat. #166; Brenninkmeijer-de Rooij 1996, p.81; ilhe?ovice 2000, cat. #63 ; Ertz 2008-10, cat. #434",,2997|3144|3804|2999|3142|3139,,,,"{% cite 9004 %} cat. #166, {% cite 8196 %} p.81, {% cite 8900 %} cat. #434",108,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3000/thumbnail.jpg,img/derivatives/simple/3000/full.jpg
9756,,,,Mountain Landscape (Ottawa),Drawing,Landscape,,1635,26.3,39.9,,,Paper,"Brush and brown ink with brown, gray, and blue wash",,,,,,,,,,,,,,Bailey/Walker cat. #OTTA.NG.2,,,OTTA.NG.2,,Public,Canada,Ottawa,National Gallery of Canada,6051,7007,,,,,,http://www.gallery.ca/en/see/collections/artwork.php?mkey=3533,,1080,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9756/thumbnail.jpg,img/derivatives/simple/9756/full.jpg
9758,,,,Covered Wagon (Oxford),Drawing,"Urban, Common and Peasant Life",,,9.9,16.8,,,Paper,Black lead,,,"Collector's marks: (LR) ""Spencer (L. 1530)""; (LR) ""unknown (L. 321?)""","""Brugel""",,,,,,,,,,Bailey/Walker cat. #OXFD.AS.1,,,OXFD.AS.1,,Public,England,Oxford,Ashmolean Museum,117,7010|7011|7012,"Parker 1938, vol. 1, p. 49, nr. 117",,,,,,,1082,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9758/thumbnail.jpg,img/derivatives/simple/9758/full.jpg
9759,,,,The So-Called Tomb of Agrippina,Drawing,Ruins,Ruins Coast Beggars Gypsies,1604,14.2,26.2,,,Paper,"Pen and brown ink, brown and blue wash",,,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #OXFD.AS.2,,,OXFD.AS.2,,Public,England,Oxford,Ashmolean Museum,1966.66.3,7013,"Ashmolean Museum, Report of the Visitors, Oxford 1966, p. 30; Berlin 1975, p. 101-2, nr. 123, pl. 227; Bedoni 1983, p. 37-8; Rome 1987, p. 100; Essen/Vienna 1997-98, p. 452-3, nr. 159, ill.","Berlin 1975, nr. 123|Essen/Vienna 1997-98, nr. 159",,,7291,,,1083,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9759/thumbnail.jpg,img/derivatives/simple/9759/full.jpg
9762,,,,Mountain Landscape (Paris),Drawing,Landscape,,,18.3,42,,,Paper,"Pen and brown ink, brown and indigo wash",,,,"Watermark: bunch of grapes (Briquet, nr. 13194)",,,,,,,,,,Bailey/Walker cat. #PARI.BA.2,,,PARI.BA.2,,Public,France,Paris,École des Beaux-Arts,Mas.385,7019|7020|7021|7022,"Paris 1947, nr. 43; Paris 1965-66, nr. 363 (as anonymous late 16th-century Flemish artist); Paris/Hamburg 1985-86, p. 218, nr. 113","Paris 1947, nr. 43|Paris 1965-66, nr. 363 (as anonymous late 16th-century Flemish artist)|Paris/Hamburg 1985-86, nr. 113",,,,http://www.ensba.fr/ow2/catzarts/voir.xsp?id=00101-23828&qid=sdx_q2&n=14&sf=&e=,"{% cite 8513 %} nr. 43, {% cite 8244 %} p. 218, nr. 113",1086,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9762/thumbnail.jpg,img/derivatives/simple/9762/full.jpg
9765,,,,Boats in a Canal,Drawing,Seascape,Birds Horse Canal Peasants Seascape Boat Wagon,,18.5,28.4,,,Paper,"Pen, light indigo wash",,,,,,,,,,,,,,Bailey/Walker cat. #PARI.BA.5,,,PARI.BA.5,,Public,France,Paris,École des Beaux-Arts,Mas.388,7322,"Paris 1930, nr. 87; Paris 1947, nr. 22","Paris 1930, nr. 87|Paris 1947, nr. 22",,,,http://www.ensba.fr/ow2/catzarts/voir.xsp?id=00101-23831&qid=sdx_q3&n=4&sf=&e=,,1089,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9765/thumbnail.jpg,img/derivatives/simple/9765/full.jpg
3001,,<a href='/brughel/3801'><img src='/img/derivatives/simple/3801/thumbnail.jpg' /></a>,3801,Bouquet with Poem,Painting,Flower Still-Life & Nature Study,Insects Glass Vase Flowers,ca. 1610,30,20,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #426, Ertz 1984 as Jan the Younger",,426,,,Private,,,,Private Collection,4772|4773,"Ertz 1979, p. 530, note 350, as Jan Brueghel the Younger; Segal in Amsterdam/Den Bosch 1982, p. 22 ; Ertz 1984, pp.72 and 442-43, as Jan the Younger.; Ertz 2008-10, cat. #426","Amsterdam/Noord-Brabants Museum, 1982",3801,,,,"{% cite 9004 %} p. 530, note 350, as Jan Brueghel the Younger, {% cite 8472 %} p. 22 , {% cite 8067 %} pp.72 and 442-43, as Jan the Younger, {% cite 8900 %} cat. #426",109,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3001/thumbnail.jpg,img/derivatives/simple/3001/full.jpg
9767,,,,Mill on a River,Drawing,Landscape,,,17.8,33.1,,,Paper,"Pen, light indigo wash",,,,,,,,,,,,,,Bailey/Walker cat. #PARI.BA.7,,,PARI.BA.7,,Public,France,Paris,École des Beaux-Arts,Mas.390,7026,,,,,,http://www.ensba.fr/ow2/catzarts/voir.xsp?id=00101-23833&qid=sdx_q3&n=6&sf=&e=,,1091,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9767/thumbnail.jpg,img/derivatives/simple/9767/full.jpg
9769,,,,Canal Crossing a Village,Drawing,"Village, Town and Cityscape",,,12.7,19.8,,,Paper,"Pen, bistre, indigo, light indigo wash",,,,,,,,,,,,,,Bailey/Walker cat. #PARI.BA.9,,,PARI.BA.9,,Public,France,Paris,École des Beaux-Arts,Mas.392,7028,"Paris 1930, nr. 92; Paris 1947, nr. 24","Paris 1930, nr. 92|Paris 1947, nr. 24",,,,http://www.ensba.fr/ow2/catzarts/voir.xsp?id=00101-23835&qid=sdx_q3&n=8&sf=&e=,,1093,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9769/thumbnail.jpg,img/derivatives/simple/9769/full.jpg
9770,,,,Busy Road with Several Carts,Drawing,Landscape,,,17.1,27.6,,,Paper,"Pen, bistre and indigo light wash",,,,,,,,,,,,,,Bailey/Walker cat. #PARI.BA.10,,,PARI.BA.10,,Public,France,Paris,École des Beaux-Arts,Mas.393,7029,"Paris 1930, nr. 90","Paris 1930, nr. 90",,,,http://www.ensba.fr/ow2/catzarts/voir.xsp?id=00101-23836&qid=sdx_q3&n=9&sf=&e=,{% cite 8771 %} nr. 90,1094,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9770/thumbnail.jpg,img/derivatives/simple/9770/full.jpg
2884,,<a href='/brughel/2887'><img src='/img/derivatives/simple/2887/thumbnail.jpg' /></a>|<a href='/brughel/2886'><img src='/img/derivatives/simple/2886/thumbnail.jpg' /></a>|<a href='/brughel/2889'><img src='/img/derivatives/simple/2889/thumbnail.jpg' /></a>,2887|2886|2889,Aeneas Carrying Anchises from the Burning Troy (Amsterdam),Painting,Classical Mythology,Bridge City Fire Burghers Soldiers Classical History Mythological Boat,1593,25.5,34.3,,,Copper,,BRUEGHEL 1593,,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #325, Honig database",,325,,,Private,,,,"Amsterdam, Salomon Lilian Gallery, 2005",4457|4458,"Ertz 2008-10, cat. #325",,2887|2886|2889,,424|425|426,,{% cite 8900 %} cat. #325,11,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2884/thumbnail.jpg,img/derivatives/simple/2884/full.jpg
3002,,,,Bouquet with Tulips (Dusseldorf),Painting,Flower Still-Life & Nature Study,Insects Vase Flowers,,79,53.5,,,Panel,,,,,,,,,,,,,,Produced Outside Jan Brueghel's Studio,"RKD as Jan Brueghel the Elder, Ertz 2008-10, Variant of #436",,,,,Private,,,,Dusseldorf,4774,,,,,,,,110,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/3002/thumbnail.jpg,img/derivatives/simple/3002/full.jpg
9779,,,,Hunters with Dogs,Drawing,Landscape,,1606-1625,16.9,27.4,,,Paper,Black chalk,,,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #PARI.LC.6,,,PARI.LC.6,,Public,France,Paris,Fondation Custodia (Collection Frits Lugt),I 3794 verso,,"Zwollo 2000, p. 449 ev., fig. 7",,,,,https://rkd.nl/explore/images/62294,"{% cite 8655 %} p. 449 ev., fig. 7",1100,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9779/thumbnail.jpg,img/derivatives/simple/9779/full.jpg
9780,,<a href='/brughel/3599'><img src='/img/derivatives/simple/3599/thumbnail.jpg' /></a>|<a href='/brughel/9570'><img src='/img/derivatives/simple/9570/thumbnail.jpg' /></a>,3599|9570,Landscape with the Temptation of Christ,Drawing,Religious,,1595,20.8,28.1,,,Paper,Pen and bistre,"""BRUEGHEL 1595""",,,"""11""",,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #PARI.LC.7,,,PARI.LC.7,,Public,France,Paris,Fondation Custodia (Collection Frits Lugt),6618,7051|7052|7053|7054|7055|7056|7057,"Paris 1879, nr. 295, p. 80; Winner 1961, nr. 2, p. 198-9, 200, 203, fig. 6 and 7; Franz 1968, p. 39 (repr.); Franz 1968-69, p. 41, pl. XL, fig. 62; Franz 1969, p. 286-8, fig. 23; Winner 1972, p. 122; London/Paris/Bern/Brussels 1972, p. 17-9, nr. 13, pl. 23; Paris 1974, nr. 12; Berlin 1975, p. 95-6, nr. 113, pl. 216; Ertz 1979, p. 100, fig. 92; Essen/Vienna 1997-98, p. 436-7, nr. 151, ill.","Paris 1879, nr. 295|London/Paris/Bern/Brussels 1972, nr. 13|Paris 1974, nr. 12|Berlin 1975, nr. 113|Essen/Vienna 1997-98, nr. 151",3599|9570,,,,,1101,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9780/thumbnail.jpg,img/derivatives/simple/9780/full.jpg
